97,47,60,54,19,8,2,48,2,41
87,18,26,29,78,39,15,3,10,40
19,23,66,89,0,3,11,25,63,16
36,80,43,51,52,88,4,30,58,17
94,70,41,96,13,84,36,14,78,81
43,6,73,5,53,34,51,21,33,89
66,84,69,4,52,25,24,72,27,31
62,70,96,79,26,96,62,31,41,48
87,69,79,67,11,95,92,36,68,61
24,8,18,15,53,6,81,30,27,49
入れ替え:1番目（97）,2番目（47）
入れ替え:125番目（163）,126番目（147）
入れ替え:124番目（162）,125番目（147）
入れ替え:123番目（158）,124番目（147）
入れ替え:122番目（155）,123番目（147）
入れ替え:121番目（155）,122番目（147）
入れ替え:120番目（154）,121番目（147）
入れ替え:119番目（152）,120番目（147）
入れ替え:145番目（193）,146番目（180）
入れ替え:144番目（191）,145番目（180）
入れ替え:143番目（190）,144番目（180）
入れ替え:142番目（188）,143番目（180）
入れ替え:141番目（188）,142番目（180）
入れ替え:140番目（185）,141番目（180）
入れ替え:139番目（184）,140番目（180）
入れ替え:138番目（183）,139番目（180）
入れ替え:137番目（182）,138番目（180）
入れ替え:136番目（181）,137番目（180）
入れ替え:146番目（193）,147番目（102）
入れ替え:145番目（191）,146番目（102）
入れ替え:144番目（190）,145番目（102）
入れ替え:143番目（188）,144番目（102）
入れ替え:142番目（188）,143番目（102）
入れ替え:141番目（185）,142番目（102）
入れ替え:140番目（184）,141番目（102）
入れ替え:139番目（183）,140番目（102）
入れ替え:138番目（182）,139番目（102）
入れ替え:137番目（181）,138番目（102）
入れ替え:136番目（180）,137番目（102）
入れ替え:135番目（180）,136番目（102）
入れ替え:134番目（180）,135番目（102）
入れ替え:133番目（179）,134番目（102）
入れ替え:132番目（175）,133番目（102）
入れ替え:131番目（173）,132番目（102）
入れ替え:130番目（173）,131番目（102）
入れ替え:129番目（173）,130番目（102）
入れ替え:128番目（170）,129番目（102）
入れ替え:127番目（165）,128番目（102）
入れ替え:126番目（163）,127番目（102）
入れ替え:125番目（162）,126番目（102）
入れ替え:124番目（158）,125番目（102）
入れ替え:123番目（155）,124番目（102）
入れ替え:122番目（155）,123番目（102）
入れ替え:121番目（154）,122番目（102）
入れ替え:120番目（152）,121番目（102）
入れ替え:119番目（147）,120番目（102）
入れ替え:118番目（147）,119番目（102）
入れ替え:117番目（145）,118番目（102）
入れ替え:116番目（145）,117番目（102）
入れ替え:115番目（144）,116番目（102）
入れ替え:114番目（142）,115番目（102）
入れ替え:113番目（138）,114番目（102）
入れ替え:112番目（136）,113番目（102）
入れ替え:111番目（135）,112番目（102）
入れ替え:110番目（130）,111番目（102）
入れ替え:109番目（128）,110番目（102）
入れ替え:108番目（125）,109番目（102）
入れ替え:107番目（124）,108番目（102）
入れ替え:106番目（124）,107番目（102）
入れ替え:105番目（122）,106番目（102）
入れ替え:104番目（121）,105番目（102）
入れ替え:103番目（116）,104番目（102）
入れ替え:102番目（113）,103番目（102）
入れ替え:147番目（193）,148番目（160）
入れ替え:146番目（191）,147番目（160）
入れ替え:145番目（190）,146番目（160）
入れ替え:144番目（188）,145番目（160）
入れ替え:143番目（188）,144番目（160）
入れ替え:142番目（185）,143番目（160）
入れ替え:141番目（184）,142番目（160）
入れ替え:140番目（183）,141番目（160）
入れ替え:139番目（182）,140番目（160）
入れ替え:138番目（181）,139番目（160）
入れ替え:137番目（180）,138番目（160）
入れ替え:136番目（180）,137番目（160）
入れ替え:135番目（180）,136番目（160）
入れ替え:134番目（179）,135番目（160）
入れ替え:133番目（175）,134番目（160）
入れ替え:132番目（173）,133番目（160）
入れ替え:131番目（173）,132番目（160）
入れ替え:130番目（173）,131番目（160）
入れ替え:129番目（170）,130番目（160）
入れ替え:128番目（165）,129番目（160）
入れ替え:127番目（163）,128番目（160）
入れ替え:126番目（162）,127番目（160）
入れ替え:148番目（193）,149番目（153）
入れ替え:147番目（191）,148番目（153）
入れ替え:146番目（190）,147番目（153）
入れ替え:145番目（188）,146番目（153）
入れ替え:144番目（188）,145番目（153）
入れ替え:143番目（185）,144番目（153）
入れ替え:142番目（184）,143番目（153）
入れ替え:141番目（183）,142番目（153）
入れ替え:140番目（182）,141番目（153）
入れ替え:139番目（181）,140番目（153）
入れ替え:138番目（180）,139番目（153）
入れ替え:137番目（180）,138番目（153）
入れ替え:136番目（180）,137番目（153）
入れ替え:135番目（179）,136番目（153）
入れ替え:134番目（175）,135番目（153）
入れ替え:133番目（173）,134番目（153）
入れ替え:132番目（173）,133番目（153）
入れ替え:131番目（173）,132番目（153）
入れ替え:130番目（170）,131番目（153）
入れ替え:129番目（165）,130番目（153）
入れ替え:128番目（163）,129番目（153）
入れ替え:127番目（162）,128番目（153）
入れ替え:126番目（160）,127番目（153）
入れ替え:125番目（158）,126番目（153）
入れ替え:124番目（155）,125番目（153）
入れ替え:123番目（155）,124番目（153）
入れ替え:122番目（154）,123番目（153）
入れ替え:149番目（193）,150番目（118）
入れ替え:148番目（191）,149番目（118）
入れ替え:147番目（190）,148番目（118）
入れ替え:146番目（188）,147番目（118）
入れ替え:145番目（188）,146番目（118）
入れ替え:144番目（185）,145番目（118）
入れ替え:143番目（184）,144番目（118）
入れ替え:142番目（183）,143番目（118）
入れ替え:141番目（182）,142番目（118）
入れ替え:140番目（181）,141番目（118）
入れ替え:139番目（180）,140番目（118）
入れ替え:138番目（180）,139番目（118）
入れ替え:137番目（180）,138番目（118）
入れ替え:136番目（179）,137番目（118）
入れ替え:135番目（175）,136番目（118）
入れ替え:134番目（173）,135番目（118）
入れ替え:133番目（173）,134番目（118）
入れ替え:132番目（173）,133番目（118）
入れ替え:131番目（170）,132番目（118）
入れ替え:130番目（165）,131番目（118）
入れ替え:129番目（163）,130番目（118）
入れ替え:128番目（162）,129番目（118）
入れ替え:127番目（160）,128番目（118）
入れ替え:126番目（158）,127番目（118）
入れ替え:125番目（155）,126番目（118）
入れ替え:124番目（155）,125番目（118）
入れ替え:123番目（154）,124番目（118）
入れ替え:122番目（153）,123番目（118）
入れ替え:121番目（152）,122番目（118）
入れ替え:120番目（147）,121番目（118）
入れ替え:119番目（147）,120番目（118）
入れ替え:118番目（145）,119番目（118）
入れ替え:117番目（145）,118番目（118）
入れ替え:116番目（144）,117番目（118）
入れ替え:115番目（142）,116番目（118）
入れ替え:114番目（138）,115番目（118）
入れ替え:113番目（136）,114番目（118）
入れ替え:112番目（135）,113番目（118）
入れ替え:111番目（130）,112番目（118）
入れ替え:110番目（128）,111番目（118）
入れ替え:109番目（125）,110番目（118）
入れ替え:108番目（124）,109番目（118）
入れ替え:107番目（124）,108番目（118）
入れ替え:106番目（122）,107番目（118）
入れ替え:105番目（121）,106番目（118）
入れ替え:150番目（193）,151番目（120）
入れ替え:149番目（191）,150番目（120）
入れ替え:148番目（190）,149番目（120）
入れ替え:147番目（188）,148番目（120）
入れ替え:146番目（188）,147番目（120）
入れ替え:145番目（185）,146番目（120）
入れ替え:144番目（184）,145番目（120）
入れ替え:143番目（183）,144番目（120）
入れ替え:142番目（182）,143番目（120）
入れ替え:141番目（181）,142番目（120）
入れ替え:140番目（180）,141番目（120）
入れ替え:139番目（180）,140番目（120）
入れ替え:138番目（180）,139番目（120）
入れ替え:137番目（179）,138番目（120）
入れ替え:136番目（175）,137番目（120）
入れ替え:135番目（173）,136番目（120）
入れ替え:134番目（173）,135番目（120）
入れ替え:133番目（173）,134番目（120）
入れ替え:132番目（170）,133番目（120）
入れ替え:131番目（165）,132番目（120）
入れ替え:130番目（163）,131番目（120）
入れ替え:129番目（162）,130番目（120）
入れ替え:128番目（160）,129番目（120）
入れ替え:127番目（158）,128番目（120）
入れ替え:126番目（155）,127番目（120）
入れ替え:125番目（155）,126番目（120）
入れ替え:124番目（154）,125番目（120）
入れ替え:123番目（153）,124番目（120）
入れ替え:122番目（152）,123番目（120）
入れ替え:121番目（147）,122番目（120）
入れ替え:120番目（147）,121番目（120）
入れ替え:119番目（145）,120番目（120）
入れ替え:118番目（145）,119番目（120）
入れ替え:117番目（144）,118番目（120）
入れ替え:116番目（142）,117番目（120）
入れ替え:115番目（138）,116番目（120）
入れ替え:114番目（136）,115番目（120）
入れ替え:113番目（135）,114番目（120）
入れ替え:112番目（130）,113番目（120）
入れ替え:111番目（128）,112番目（120）
入れ替え:110番目（125）,111番目（120）
入れ替え:109番目（124）,110番目（120）
入れ替え:108番目（124）,109番目（120）
入れ替え:107番目（122）,108番目（120）
入れ替え:106番目（121）,107番目（120）
入れ替え:151番目（193）,152番目（116）
入れ替え:150番目（191）,151番目（116）
入れ替え:149番目（190）,150番目（116）
入れ替え:148番目（188）,149番目（116）
入れ替え:147番目（188）,148番目（116）
入れ替え:146番目（185）,147番目（116）
入れ替え:145番目（184）,146番目（116）
入れ替え:144番目（183）,145番目（116）
入れ替え:143番目（182）,144番目（116）
入れ替え:142番目（181）,143番目（116）
入れ替え:141番目（180）,142番目（116）
入れ替え:140番目（180）,141番目（116）
入れ替え:139番目（180）,140番目（116）
入れ替え:138番目（179）,139番目（116）
入れ替え:137番目（175）,138番目（116）
入れ替え:136番目（173）,137番目（116）
入れ替え:135番目（173）,136番目（116）
入れ替え:134番目（173）,135番目（116）
入れ替え:133番目（170）,134番目（116）
入れ替え:132番目（165）,133番目（116）
入れ替え:131番目（163）,132番目（116）
入れ替え:130番目（162）,131番目（116）
入れ替え:129番目（160）,130番目（116）
入れ替え:128番目（158）,129番目（116）
入れ替え:127番目（155）,128番目（116）
入れ替え:126番目（155）,127番目（116）
入れ替え:125番目（154）,126番目（116）
入れ替え:124番目（153）,125番目（116）
入れ替え:123番目（152）,124番目（116）
入れ替え:122番目（147）,123番目（116）
入れ替え:121番目（147）,122番目（116）
入れ替え:120番目（145）,121番目（116）
入れ替え:119番目（145）,120番目（116）
入れ替え:118番目（144）,119番目（116）
入れ替え:117番目（142）,118番目（116）
入れ替え:116番目（138）,117番目（116）
入れ替え:115番目（136）,116番目（116）
入れ替え:114番目（135）,115番目（116）
入れ替え:113番目（130）,114番目（116）
入れ替え:112番目（128）,113番目（116）
入れ替え:111番目（125）,112番目（116）
入れ替え:110番目（124）,111番目（116）
入れ替え:109番目（124）,110番目（116）
入れ替え:108番目（122）,109番目（116）
入れ替え:107番目（121）,108番目（116）
入れ替え:106番目（120）,107番目（116）
入れ替え:105番目（118）,106番目（116）
入れ替え:152番目（193）,153番目（100）
入れ替え:151番目（191）,152番目（100）
入れ替え:150番目（190）,151番目（100）
入れ替え:149番目（188）,150番目（100）
入れ替え:148番目（188）,149番目（100）
入れ替え:147番目（185）,148番目（100）
入れ替え:146番目（184）,147番目（100）
入れ替え:145番目（183）,146番目（100）
入れ替え:144番目（182）,145番目（100）
入れ替え:143番目（181）,144番目（100）
入れ替え:142番目（180）,143番目（100）
入れ替え:141番目（180）,142番目（100）
入れ替え:140番目（180）,141番目（100）
入れ替え:139番目（179）,140番目（100）
入れ替え:138番目（175）,139番目（100）
入れ替え:137番目（173）,138番目（100）
入れ替え:136番目（173）,137番目（100）
入れ替え:135番目（173）,136番目（100）
入れ替え:134番目（170）,135番目（100）
入れ替え:133番目（165）,134番目（100）
入れ替え:132番目（163）,133番目（100）
入れ替え:131番目（162）,132番目（100）
入れ替え:130番目（160）,131番目（100）
入れ替え:129番目（158）,130番目（100）
入れ替え:128番目（155）,129番目（100）
入れ替え:127番目（155）,128番目（100）
入れ替え:126番目（154）,127番目（100）
入れ替え:125番目（153）,126番目（100）
入れ替え:124番目（152）,125番目（100）
入れ替え:123番目（147）,124番目（100）
入れ替え:122番目（147）,123番目（100）
入れ替え:121番目（145）,122番目（100）
入れ替え:120番目（145）,121番目（100）
入れ替え:119番目（144）,120番目（100）
入れ替え:118番目（142）,119番目（100）
入れ替え:117番目（138）,118番目（100）
入れ替え:116番目（136）,117番目（100）
入れ替え:115番目（135）,116番目（100）
入れ替え:114番目（130）,115番目（100）
入れ替え:113番目（128）,114番目（100）
入れ替え:112番目（125）,113番目（100）
入れ替え:111番目（124）,112番目（100）
入れ替え:110番目（124）,111番目（100）
入れ替え:109番目（122）,110番目（100）
入れ替え:108番目（121）,109番目（100）
入れ替え:107番目（120）,108番目（100）
入れ替え:106番目（118）,107番目（100）
入れ替え:105番目（116）,106番目（100）
入れ替え:104番目（116）,105番目（100）
入れ替え:103番目（113）,104番目（100）
入れ替え:102番目（102）,103番目（100）
入れ替え:101番目（101）,102番目（100）
入れ替え:153番目（193）,154番目（153）
入れ替え:152番目（191）,153番目（153）
入れ替え:151番目（190）,152番目（153）
入れ替え:150番目（188）,151番目（153）
入れ替え:149番目（188）,150番目（153）
入れ替え:148番目（185）,149番目（153）
入れ替え:147番目（184）,148番目（153）
入れ替え:146番目（183）,147番目（153）
入れ替え:145番目（182）,146番目（153）
入れ替え:144番目（181）,145番目（153）
入れ替え:143番目（180）,144番目（153）
入れ替え:142番目（180）,143番目（153）
入れ替え:141番目（180）,142番目（153）
入れ替え:140番目（179）,141番目（153）
入れ替え:139番目（175）,140番目（153）
入れ替え:138番目（173）,139番目（153）
入れ替え:137番目（173）,138番目（153）
入れ替え:136番目（173）,137番目（153）
入れ替え:135番目（170）,136番目（153）
入れ替え:134番目（165）,135番目（153）
入れ替え:133番目（163）,134番目（153）
入れ替え:132番目（162）,133番目（153）
入れ替え:131番目（160）,132番目（153）
入れ替え:130番目（158）,131番目（153）
入れ替え:129番目（155）,130番目（153）
入れ替え:128番目（155）,129番目（153）
入れ替え:127番目（154）,128番目（153）
入れ替え:154番目（193）,155番目（125）
入れ替え:153番目（191）,154番目（125）
入れ替え:152番目（190）,153番目（125）
入れ替え:151番目（188）,152番目（125）
入れ替え:150番目（188）,151番目（125）
入れ替え:149番目（185）,150番目（125）
入れ替え:148番目（184）,149番目（125）
入れ替え:147番目（183）,148番目（125）
入れ替え:146番目（182）,147番目（125）
入れ替え:145番目（181）,146番目（125）
入れ替え:144番目（180）,145番目（125）
入れ替え:143番目（180）,144番目（125）
入れ替え:142番目（180）,143番目（125）
入れ替え:141番目（179）,142番目（125）
入れ替え:140番目（175）,141番目（125）
入れ替え:139番目（173）,140番目（125）
入れ替え:138番目（173）,139番目（125）
入れ替え:137番目（173）,138番目（125）
入れ替え:136番目（170）,137番目（125）
入れ替え:135番目（165）,136番目（125）
入れ替え:134番目（163）,135番目（125）
入れ替え:133番目（162）,134番目（125）
入れ替え:132番目（160）,133番目（125）
入れ替え:131番目（158）,132番目（125）
入れ替え:130番目（155）,131番目（125）
入れ替え:129番目（155）,130番目（125）
入れ替え:128番目（154）,129番目（125）
入れ替え:127番目（153）,128番目（125）
入れ替え:126番目（153）,127番目（125）
入れ替え:125番目（152）,126番目（125）
入れ替え:124番目（147）,125番目（125）
入れ替え:123番目（147）,124番目（125）
入れ替え:122番目（145）,123番目（125）
入れ替え:121番目（145）,122番目（125）
入れ替え:120番目（144）,121番目（125）
入れ替え:119番目（142）,120番目（125）
入れ替え:118番目（138）,119番目（125）
入れ替え:117番目（136）,118番目（125）
入れ替え:116番目（135）,117番目（125）
入れ替え:115番目（130）,116番目（125）
入れ替え:114番目（128）,115番目（125）
入れ替え:155番目（193）,156番目（170）
入れ替え:154番目（191）,155番目（170）
入れ替え:153番目（190）,154番目（170）
入れ替え:152番目（188）,153番目（170）
入れ替え:151番目（188）,152番目（170）
入れ替え:150番目（185）,151番目（170）
入れ替え:149番目（184）,150番目（170）
入れ替え:148番目（183）,149番目（170）
入れ替え:147番目（182）,148番目（170）
入れ替え:146番目（181）,147番目（170）
入れ替え:145番目（180）,146番目（170）
入れ替え:144番目（180）,145番目（170）
入れ替え:143番目（180）,144番目（170）
入れ替え:142番目（179）,143番目（170）
入れ替え:141番目（175）,142番目（170）
入れ替え:140番目（173）,141番目（170）
入れ替え:139番目（173）,140番目（170）
入れ替え:138番目（173）,139番目（170）
入れ替え:156番目（193）,157番目（190）
入れ替え:155番目（191）,156番目（190）
入れ替え:157番目（193）,158番目（182）
入れ替え:156番目（191）,157番目（182）
入れ替え:155番目（190）,156番目（182）
入れ替え:154番目（190）,155番目（182）
入れ替え:153番目（188）,154番目（182）
入れ替え:152番目（188）,153番目（182）
入れ替え:151番目（185）,152番目（182）
入れ替え:150番目（184）,151番目（182）
入れ替え:149番目（183）,150番目（182）
入れ替え:158番目（193）,159番目（184）
入れ替え:157番目（191）,158番目（184）
入れ替え:156番目（190）,157番目（184）
入れ替え:155番目（190）,156番目（184）
入れ替え:154番目（188）,155番目（184）
入れ替え:153番目（188）,154番目（184）
入れ替え:152番目（185）,153番目（184）
入れ替え:159番目（193）,160番目（183）
入れ替え:158番目（191）,159番目（183）
入れ替え:157番目（190）,158番目（183）
入れ替え:156番目（190）,157番目（183）
入れ替え:155番目（188）,156番目（183）
入れ替え:154番目（188）,155番目（183）
入れ替え:153番目（185）,154番目（183）
入れ替え:152番目（184）,153番目（183）
入れ替え:151番目（184）,152番目（183）
入れ替え:160番目（193）,161番目（104）
入れ替え:159番目（191）,160番目（104）
入れ替え:158番目（190）,159番目（104）
入れ替え:157番目（190）,158番目（104）
入れ替え:156番目（188）,157番目（104）
入れ替え:155番目（188）,156番目（104）
入れ替え:154番目（185）,155番目（104）
入れ替え:153番目（184）,154番目（104）
入れ替え:152番目（184）,153番目（104）
入れ替え:151番目（183）,152番目（104）
入れ替え:150番目（183）,151番目（104）
入れ替え:149番目（182）,150番目（104）
入れ替え:148番目（182）,149番目（104）
入れ替え:147番目（181）,148番目（104）
入れ替え:146番目（180）,147番目（104）
入れ替え:145番目（180）,146番目（104）
入れ替え:144番目（180）,145番目（104）
入れ替え:143番目（179）,144番目（104）
入れ替え:142番目（175）,143番目（104）
入れ替え:141番目（173）,142番目（104）
入れ替え:140番目（173）,141番目（104）
入れ替え:139番目（173）,140番目（104）
入れ替え:138番目（170）,139番目（104）
入れ替え:137番目（170）,138番目（104）
入れ替え:136番目（165）,137番目（104）
入れ替え:135番目（163）,136番目（104）
入れ替え:134番目（162）,135番目（104）
入れ替え:133番目（160）,134番目（104）
入れ替え:132番目（158）,133番目（104）
入れ替え:131番目（155）,132番目（104）
入れ替え:130番目（155）,131番目（104）
入れ替え:129番目（154）,130番目（104）
入れ替え:128番目（153）,129番目（104）
入れ替え:127番目（153）,128番目（104）
入れ替え:126番目（152）,127番目（104）
入れ替え:125番目（147）,126番目（104）
入れ替え:124番目（147）,125番目（104）
入れ替え:123番目（145）,124番目（104）
入れ替え:122番目（145）,123番目（104）
入れ替え:121番目（144）,122番目（104）
入れ替え:120番目（142）,121番目（104）
入れ替え:119番目（138）,120番目（104）
入れ替え:118番目（136）,119番目（104）
入れ替え:117番目（135）,118番目（104）
入れ替え:116番目（130）,117番目（104）
入れ替え:115番目（128）,116番目（104）
入れ替え:114番目（125）,115番目（104）
入れ替え:113番目（125）,114番目（104）
入れ替え:112番目（124）,113番目（104）
入れ替え:111番目（124）,112番目（104）
入れ替え:110番目（122）,111番目（104）
入れ替え:109番目（121）,110番目（104）
入れ替え:108番目（120）,109番目（104）
入れ替え:107番目（118）,108番目（104）
入れ替え:106番目（116）,107番目（104）
入れ替え:105番目（116）,106番目（104）
入れ替え:104番目（113）,105番目（104）
入れ替え:161番目（193）,162番目（176）
入れ替え:160番目（191）,161番目（176）
入れ替え:159番目（190）,160番目（176）
入れ替え:158番目（190）,159番目（176）
入れ替え:157番目（188）,158番目（176）
入れ替え:156番目（188）,157番目（176）
入れ替え:155番目（185）,156番目（176）
入れ替え:154番目（184）,155番目（176）
入れ替え:153番目（184）,154番目（176）
入れ替え:152番目（183）,153番目（176）
入れ替え:151番目（183）,152番目（176）
入れ替え:150番目（182）,151番目（176）
入れ替え:149番目（182）,150番目（176）
入れ替え:148番目（181）,149番目（176）
入れ替え:147番目（180）,148番目（176）
入れ替え:146番目（180）,147番目（176）
入れ替え:145番目（180）,146番目（176）
入れ替え:144番目（179）,145番目（176）
入れ替え:163番目（197）,164番目（181）
入れ替え:162番目（193）,163番目（181）
入れ替え:161番目（191）,162番目（181）
入れ替え:160番目（190）,161番目（181）
入れ替え:159番目（190）,160番目（181）
入れ替え:158番目（188）,159番目（181）
入れ替え:157番目（188）,158番目（181）
入れ替え:156番目（185）,157番目（181）
入れ替え:155番目（184）,156番目（181）
入れ替え:154番目（184）,155番目（181）
入れ替え:153番目（183）,154番目（181）
入れ替え:152番目（183）,153番目（181）
入れ替え:151番目（182）,152番目（181）
入れ替え:150番目（182）,151番目（181）
入れ替え:164番目（197）,165番目（168）
入れ替え:163番目（193）,164番目（168）
入れ替え:162番目（191）,163番目（168）
入れ替え:161番目（190）,162番目（168）
入れ替え:160番目（190）,161番目（168）
入れ替え:159番目（188）,160番目（168）
入れ替え:158番目（188）,159番目（168）
入れ替え:157番目（185）,158番目（168）
入れ替え:156番目（184）,157番目（168）
入れ替え:155番目（184）,156番目（168）
入れ替え:154番目（183）,155番目（168）
入れ替え:153番目（183）,154番目（168）
入れ替え:152番目（182）,153番目（168）
入れ替え:151番目（182）,152番目（168）
入れ替え:150番目（181）,151番目（168）
入れ替え:149番目（181）,150番目（168）
入れ替え:148番目（180）,149番目（168）
入れ替え:147番目（180）,148番目（168）
入れ替え:146番目（180）,147番目（168）
入れ替え:145番目（179）,146番目（168）
入れ替え:144番目（176）,145番目（168）
入れ替え:143番目（175）,144番目（168）
入れ替え:142番目（173）,143番目（168）
入れ替え:141番目（173）,142番目（168）
入れ替え:140番目（173）,141番目（168）
入れ替え:139番目（170）,140番目（168）
入れ替え:138番目（170）,139番目（168）
入れ替え:165番目（197）,166番目（183）
入れ替え:164番目（193）,165番目（183）
入れ替え:163番目（191）,164番目（183）
入れ替え:162番目（190）,163番目（183）
入れ替え:161番目（190）,162番目（183）
入れ替え:160番目（188）,161番目（183）
入れ替え:159番目（188）,160番目（183）
入れ替え:158番目（185）,159番目（183）
入れ替え:157番目（184）,158番目（183）
入れ替え:156番目（184）,157番目（183）
入れ替え:166番目（197）,167番目（147）
入れ替え:165番目（193）,166番目（147）
入れ替え:164番目（191）,165番目（147）
入れ替え:163番目（190）,164番目（147）
入れ替え:162番目（190）,163番目（147）
入れ替え:161番目（188）,162番目（147）
入れ替え:160番目（188）,161番目（147）
入れ替え:159番目（185）,160番目（147）
入れ替え:158番目（184）,159番目（147）
入れ替え:157番目（184）,158番目（147）
入れ替え:156番目（183）,157番目（147）
入れ替え:155番目（183）,156番目（147）
入れ替え:154番目（183）,155番目（147）
入れ替え:153番目（182）,154番目（147）
入れ替え:152番目（182）,153番目（147）
入れ替え:151番目（181）,152番目（147）
入れ替え:150番目（181）,151番目（147）
入れ替え:149番目（180）,150番目（147）
入れ替え:148番目（180）,149番目（147）
入れ替え:147番目（180）,148番目（147）
入れ替え:146番目（179）,147番目（147）
入れ替え:145番目（176）,146番目（147）
入れ替え:144番目（175）,145番目（147）
入れ替え:143番目（173）,144番目（147）
入れ替え:142番目（173）,143番目（147）
入れ替え:141番目（173）,142番目（147）
入れ替え:140番目（170）,141番目（147）
入れ替え:139番目（170）,140番目（147）
入れ替え:138番目（168）,139番目（147）
入れ替え:137番目（165）,138番目（147）
入れ替え:136番目（163）,137番目（147）
入れ替え:135番目（162）,136番目（147）
入れ替え:134番目（160）,135番目（147）
入れ替え:133番目（158）,134番目（147）
入れ替え:132番目（155）,133番目（147）
入れ替え:131番目（155）,132番目（147）
入れ替え:130番目（154）,131番目（147）
入れ替え:129番目（153）,130番目（147）
入れ替え:128番目（153）,129番目（147）
入れ替え:127番目（152）,128番目（147）
入れ替え:167番目（197）,168番目（148）
入れ替え:166番目（193）,167番目（148）
入れ替え:165番目（191）,166番目（148）
入れ替え:164番目（190）,165番目（148）
入れ替え:163番目（190）,164番目（148）
入れ替え:162番目（188）,163番目（148）
入れ替え:161番目（188）,162番目（148）
入れ替え:160番目（185）,161番目（148）
入れ替え:159番目（184）,160番目（148）
入れ替え:158番目（184）,159番目（148）
入れ替え:157番目（183）,158番目（148）
入れ替え:156番目（183）,157番目（148）
入れ替え:155番目（183）,156番目（148）
入れ替え:154番目（182）,155番目（148）
入れ替え:153番目（182）,154番目（148）
入れ替え:152番目（181）,153番目（148）
入れ替え:151番目（181）,152番目（148）
入れ替え:150番目（180）,151番目（148）
入れ替え:149番目（180）,150番目（148）
入れ替え:148番目（180）,149番目（148）
入れ替え:147番目（179）,148番目（148）
入れ替え:146番目（176）,147番目（148）
入れ替え:145番目（175）,146番目（148）
入れ替え:144番目（173）,145番目（148）
入れ替え:143番目（173）,144番目（148）
入れ替え:142番目（173）,143番目（148）
入れ替え:141番目（170）,142番目（148）
入れ替え:140番目（170）,141番目（148）
入れ替え:139番目（168）,140番目（148）
入れ替え:138番目（165）,139番目（148）
入れ替え:137番目（163）,138番目（148）
入れ替え:136番目（162）,137番目（148）
入れ替え:135番目（160）,136番目（148）
入れ替え:134番目（158）,135番目（148）
入れ替え:133番目（155）,134番目（148）
入れ替え:132番目（155）,133番目（148）
入れ替え:131番目（154）,132番目（148）
入れ替え:130番目（153）,131番目（148）
入れ替え:129番目（153）,130番目（148）
入れ替え:128番目（152）,129番目（148）
入れ替え:168番目（197）,169番目（108）
入れ替え:167番目（193）,168番目（108）
入れ替え:166番目（191）,167番目（108）
入れ替え:165番目（190）,166番目（108）
入れ替え:164番目（190）,165番目（108）
入れ替え:163番目（188）,164番目（108）
入れ替え:162番目（188）,163番目（108）
入れ替え:161番目（185）,162番目（108）
入れ替え:160番目（184）,161番目（108）
入れ替え:159番目（184）,160番目（108）
入れ替え:158番目（183）,159番目（108）
入れ替え:157番目（183）,158番目（108）
入れ替え:156番目（183）,157番目（108）
入れ替え:155番目（182）,156番目（108）
入れ替え:154番目（182）,155番目（108）
入れ替え:153番目（181）,154番目（108）
入れ替え:152番目（181）,153番目（108）
入れ替え:151番目（180）,152番目（108）
入れ替え:150番目（180）,151番目（108）
入れ替え:149番目（180）,150番目（108）
入れ替え:148番目（179）,149番目（108）
入れ替え:147番目（176）,148番目（108）
入れ替え:146番目（175）,147番目（108）
入れ替え:145番目（173）,146番目（108）
入れ替え:144番目（173）,145番目（108）
入れ替え:143番目（173）,144番目（108）
入れ替え:142番目（170）,143番目（108）
入れ替え:141番目（170）,142番目（108）
入れ替え:140番目（168）,141番目（108）
入れ替え:139番目（165）,140番目（108）
入れ替え:138番目（163）,139番目（108）
入れ替え:137番目（162）,138番目（108）
入れ替え:136番目（160）,137番目（108）
入れ替え:135番目（158）,136番目（108）
入れ替え:134番目（155）,135番目（108）
入れ替え:133番目（155）,134番目（108）
入れ替え:132番目（154）,133番目（108）
入れ替え:131番目（153）,132番目（108）
入れ替え:130番目（153）,131番目（108）
入れ替え:129番目（152）,130番目（108）
入れ替え:128番目（148）,129番目（108）
入れ替え:127番目（147）,128番目（108）
入れ替え:126番目（147）,127番目（108）
入れ替え:125番目（147）,126番目（108）
入れ替え:124番目（145）,125番目（108）
入れ替え:123番目（145）,124番目（108）
入れ替え:122番目（144）,123番目（108）
入れ替え:121番目（142）,122番目（108）
入れ替え:120番目（138）,121番目（108）
入れ替え:119番目（136）,120番目（108）
入れ替え:118番目（135）,119番目（108）
入れ替え:117番目（130）,118番目（108）
入れ替え:116番目（128）,117番目（108）
入れ替え:115番目（125）,116番目（108）
入れ替え:114番目（125）,115番目（108）
入れ替え:113番目（124）,114番目（108）
入れ替え:112番目（124）,113番目（108）
入れ替え:111番目（122）,112番目（108）
入れ替え:110番目（121）,111番目（108）
入れ替え:109番目（120）,110番目（108）
入れ替え:108番目（118）,109番目（108）
入れ替え:107番目（116）,108番目（108）
入れ替え:106番目（116）,107番目（108）
入れ替え:105番目（113）,106番目（108）
入れ替え:169番目（197）,170番目（112）
入れ替え:168番目（193）,169番目（112）
入れ替え:167番目（191）,168番目（112）
入れ替え:166番目（190）,167番目（112）
入れ替え:165番目（190）,166番目（112）
入れ替え:164番目（188）,165番目（112）
